patient,sample,source,type,bam,input_folder,cells
ET_83497,Minus_ET_83497,VarTrix,scRNAseq_Somatic,/home/grasshoff/labcluster_data/mg000001/sigurd_test_scripts/Test_Data_Generation/test_data/Minus_ET_83497/possorted_genome_bam.bam,/home/grasshoff/labcluster_data/mg000001/sigurd_test_scripts/Test_Data_Generation/test_data/VarTrix/Somatic/,/home/grasshoff/labcluster_data/mg000001/sigurd_test_scripts/Test_Data_Generation/test_data/Minus_ET_83497/Minus_ET_83497_barcodes.tsv
ET_83497,Minus_ET_83497,VarTrix,scRNAseq_MT,/home/grasshoff/labcluster_data/mg000001/sigurd_test_scripts/Test_Data_Generation/test_data/Minus_ET_83497/possorted_genome_bam.bam,/home/grasshoff/labcluster_data/mg000001/sigurd_test_scripts/Test_Data_Generation/test_data/VarTrix/MT/,/home/grasshoff/labcluster_data/mg000001/sigurd_test_scripts/Test_Data_Generation/test_data/Minus_ET_83497/Minus_ET_83497_barcodes.tsv
ET_83497,Minus_ET_83497,MAEGATK,scRNAseq_MT,/home/grasshoff/labcluster_data/mg000001/sigurd_test_scripts/Test_Data_Generation/test_data/Minus_ET_83497/possorted_genome_bam.bam,/home/grasshoff/labcluster_data/mg000001/sigurd_test_scripts/Test_Data_Generation/test_data/MAEGATK/,/home/grasshoff/labcluster_data/mg000001/sigurd_test_scripts/Test_Data_Generation/test_data/Minus_ET_83497/Minus_ET_83497_barcodes.tsv
ET_83497,Plus_ET_83497,VarTrix,scRNAseq_Somatic,/home/grasshoff/labcluster_data/mg000001/sigurd_test_scripts/Test_Data_Generation/test_data/Plus_ET_83497/possorted_genome_bam.bam,/home/grasshoff/labcluster_data/mg000001/sigurd_test_scripts/Test_Data_Generation/test_data/VarTrix/Somatic/,/home/grasshoff/labcluster_data/mg000001/sigurd_test_scripts/Test_Data_Generation/test_data/Plus_ET_83497/Plus_ET_83497_barcodes.tsv
ET_83497,Plus_ET_83497,VarTrix,scRNAseq_MT,/home/grasshoff/labcluster_data/mg000001/sigurd_test_scripts/Test_Data_Generation/test_data/Plus_ET_83497/possorted_genome_bam.bam,/home/grasshoff/labcluster_data/mg000001/sigurd_test_scripts/Test_Data_Generation/test_data/VarTrix/MT/,/home/grasshoff/labcluster_data/mg000001/sigurd_test_scripts/Test_Data_Generation/test_data/Plus_ET_83497/Plus_ET_83497_barcodes.tsv
ET_83497,Plus_ET_83497,MAEGATK,scRNAseq_MT,/home/grasshoff/labcluster_data/mg000001/sigurd_test_scripts/Test_Data_Generation/test_data/Plus_ET_83497/possorted_genome_bam.bam,/home/grasshoff/labcluster_data/mg000001/sigurd_test_scripts/Test_Data_Generation/test_data/MAEGATK/,/home/grasshoff/labcluster_data/mg000001/sigurd_test_scripts/Test_Data_Generation/test_data/Plus_ET_83497/Plus_ET_83497_barcodes.tsv
SW_CellLineMix_All_mr3,SW_CellLineMix_All_mr3,MAEGATK,Amplicon_MT,NADA,~/labcluster_data/mg000001/sigurd_test_scripts/MAESTER_data/,NADA
SW_CellLineMix_RNAseq_mr3,SW_CellLineMix_RNAseq_mr3,MAEGATK,scRNAseq_MT,NADA,~/labcluster_data/mg000001/sigurd_test_scripts/MAESTER_data/,NADA
TenX_BPDCN712_All_mr3,TenX_BPDCN712_All_mr3,MAEGATK,Amplicon_MT,NADA,~/labcluster_data/mg000001/sigurd_test_scripts/MAESTER_data/,NADA
TenX_BPDCN712_RNAseq_mr3,TenX_BPDCN712_RNAseq_mr3,MAEGATK,scRNAseq_MT,NADA,~/labcluster_data/mg000001/sigurd_test_scripts/MAESTER_data/,NADA
